Water body name,Water body description,Water body type,Year added to List,Basin,AUID,Use Class,County,HUC 8,Watershed name,Partial tribal designation,Affected designated use,Pollutant or stressor,TMDL target completion year,EPA category,Mercury TMDL region,Year TMDL plan approved,TMDL ID,AUID previously listed,Changes since last List
Albert Lea,Lake or Reservoir,Lake,2008,Cedar River,24-0014-00,"2B, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Recreation,Nutrients,2023,5,,,,,
Bancroft Creek (County Ditch 63),CD 63 to 270th St,Stream,2020,Cedar River,07080202-548,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Bancroft Creek (County Ditch 63),270th St to -93.366 43.695,Stream,2020,Cedar River,07080202-549,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Bancroft Creek (County Ditch 63),270th St to -93.366 43.695,Stream,2020,Cedar River,07080202-549,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Bancroft Creek (County Ditch 63),-93.366 43.695 to Fountain Lk,Stream,2020,Cedar River,07080202-550,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Bancroft Creek (County Ditch 63),-93.366 43.695 to Fountain Lk,Stream,2012,Cedar River,07080202-550,"2Bg, 3C",Freeborn,07080202,Shell Rock River,,Aquatic Recreation,Escherichia coli (E.coli),2023,5,,,,07080202-507,Carry forward impairment from 07080202-507
Bear,Lake or Reservoir,Lake,2018,Cedar River,24-0028-00,"2B, 3C",Freeborn,07080203,Winnebago River,,Aquatic Recreation,Nutrients,2023,5,,,,,
Cedar River,Rose Cr to Woodbury Cr,Stream,1998,Cedar River,07080201-501,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Rose Cr to Woodbury Cr,Stream,2012,Cedar River,07080201-501,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Cedar River,Rose Cr to Woodbury Cr,Stream,2012,Cedar River,07080201-501,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Fish bioassessments,2023,5,,,,,
Cedar River,Rose Cr to Woodbury Cr,Stream,2002,Cedar River,07080201-501,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Turbidity,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Cedar River,Rose Cr to Woodbury Cr,Stream,1994,Cedar River,07080201-501,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2006,PRJ07742-001,,
Cedar River,Roberts Cr to Upper Austin Dam,Stream,1998,Cedar River,07080201-502,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Roberts Cr to Upper Austin Dam,Stream,2002,Cedar River,07080201-502,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,PCBs in fish tissue,2033,5,,,,,
Cedar River,Roberts Cr to Upper Austin Dam,Stream,2002,Cedar River,07080201-502,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Turbidity,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Cedar River,Roberts Cr to Upper Austin Dam,Stream,1994,Cedar River,07080201-502,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2006,PRJ07742-001,,
Cedar River,Headwaters to Roberts Cr,Stream,1998,Cedar River,07080201-503,"2Bg, 3C",Dodge,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Headwaters to Roberts Cr,Stream,2002,Cedar River,07080201-503,"2Bg, 3C",Dodge,07080201,Cedar River,,Aquatic Consumption,PCBs in fish tissue,2033,5,,,,,
Cedar River,Headwaters to Roberts Cr,Stream,2012,Cedar River,07080201-503,"2Bg, 3C",Dodge,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Cedar River,Headwaters to Roberts Cr,Stream,2006,Cedar River,07080201-503,"2Bg, 3C",Dodge,07080201,Cedar River,,Aquatic Recreation,Fecal coliform,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Cedar River,Upper Austin Dam to Wolf Cr,Stream,1998,Cedar River,07080201-511,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Upper Austin Dam to Wolf Cr,Stream,2002,Cedar River,07080201-511,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,PCBs in fish tissue,2033,5,,,,,
Cedar River,Wolf Cr to Lower Austin Dam,Stream,1998,Cedar River,07080201-512,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Wolf Cr to Lower Austin Dam,Stream,2006,Cedar River,07080201-512,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,PCBs in fish tissue,2033,5,,,,,
Cedar River,Lower Austin Dam to Dobbins Cr,Stream,1998,Cedar River,07080201-513,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Dobbins Cr to Turtle Cr,Stream,1998,Cedar River,07080201-514,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Dobbins Cr to Turtle Cr,Stream,2012,Cedar River,07080201-514,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Recreation,Escherichia coli (E.coli),,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
Cedar River,Turtle Cr to Rose Cr,Stream,1998,Cedar River,07080201-515,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Consumption,Mercury in fish tissue,,4A,SW,2007,PRJ07770-001,,
Cedar River,Turtle Cr to Rose Cr,Stream,2012,Cedar River,07080201-515,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Benthic macroinvertebrates bioassessments,2023,5,,,,,
Cedar River,Turtle Cr to Rose Cr,Stream,2012,Cedar River,07080201-515,"2Bg, 3C",Mower,07080201,Cedar River,,Aquatic Life,Turbidity,,4A,,2019,PRJ07667-001,,TMDL plan approved; EPA category changed from 5 to 4A
